Traffic light,Shipping Point/Receiving Pt,Originating document,STPO_Cut_Off,Plant,Description,Material,Open quantity,Unrestricted
,W001,6200020949,M_15th,GS06,AURA 1.2 M IVORY DELUXE,AURA48IVYDLX,224,3360
,W001,6200020906,M_25th,GW02,AURA 1.2M NEW WHT FAN,AURA48NEWWHT,20,0
,W001,6200020906,M_25th,GE05,AURA 1.2M NEW WHT FAN,AURA48NEWWHT,8,0
,W001,6200020906,M_25th,GS02,AURA 1.2M NEW WHT FAN,AURA48NEWWHT,64,0
,W001,6200020906,M_25th,GS06,AURA 1.2M NEW WHT FAN,AURA48NEWWHT,36,0
,W001,6200020906,M_25th,GS07,AURA 1.2M NEW WHT FAN,AURA48NEWWHT,36,0
,W001,6200020906,M_25th,GW04,AURA 1.2M NEW WHT FAN,AURA48NEWWHT,60,0
,W001,6200020906,M_25th,GW06,AURA 1.2M NEW WHT FAN,AURA48NEWWHT,36,0
,W001,6200020906,M_25th,GS03,AURA 1.2M NEW WHT FAN,AURA48NEWWHT,48,0
,W001,6200020905,M_15th,GW02,AURA 1.2M NEW WHT FAN,AURA48NEWWHT,44,0
,W001,6200020905,M_15th,GW06,AURA 1.2M NEW WHT FAN,AURA48NEWWHT,12,0
,W001,6200020906,M_25th,GN03,AURA 1.2M NEW WHT FAN,AURA48NEWWHT,28,0
,W001,6200020906,M_25th,GN02,AURA 1.2M NEW WHT FAN,AURA48NEWWHT,4,0
,W001,6200021039,M_15th,GN04,AURA 1.4M NEW  WHITE,AURA56NEWWHT,32,0
,W001,6200021040,M_15th,GN02,AURA PRIME ANTI DUST 0.9M BIRKEN EFFE,AURPMAD36BKE,20,0
,W001,6200021038,M_15th,GN03,AURA PRIME ANTI DUST 0.9M BIRKEN EFFE,AURPMAD36BKE,26,0
,W001,6200021039,M_15th,GN04,AURA PRIME ANTI DUST 0.9M CF ONIX,AURPMAD36ONX,26,0
,W001,6200021040,M_15th,GN02,AURA PRIME ANT DUST 1.2M HGD+BUTT SCOTCH,AURPMAD48BSC,12,0
,W001,6200021039,M_15th,GN04,AURA PRIME ANTI DUST 1.2M CHICORY,AURPMAD48CHK,66,0
,W001,6200021040,M_15th,GN02,AURA PRIME ANTI DUST 1.2M  HUSKY GOLD,AURPMAD48HGD,4,0
,W001,6200021038,M_15th,GN03,AURA PRIME ANTI DUST 1.2M  HUSKY GOLD,AURPMAD48HGD,16,0
,W001,6200021040,M_15th,GN02,AURA PRIME ANTI DUST 1.2M HIMALAYA GREY,AURPMAD48HMG,48,0
,W001,6200021042,M_15th,GN05,AURA PRIME ANTI DUST 1.2M HIMALAYA GREY,AURPMAD48HMG,16,0
,W001,6200021038,M_15th,GN03,AURA PRIME ANTI DUST 1.2M HIMALAYA GREY,AURPMAD48HMG,48,0
,W001,6200020949,M_15th,GE05,AURA PRIME ANTI DUST 1.2M TITANIU EFFECT,AURPMAD48TTE,44,256
,W001,6200020949,M_15th,GE01,AURA PRIME ANTI DUST 1.2M TITANIU EFFECT,AURPMAD48TTE,212,256
,W001,6200020949,M_15th,GN04,AURA PRIME ANTI DUST 1.2M TITANIU EFFECT,AURPMAD48TTE,24,256
,W001,6200020949,M_15th,GW03,AURA PRIME ANTI DUST 1.2M TITANIU EFFECT,AURPMAD48TTE,96,256
,W001,6200020949,M_15th,GW04,AURA PRIME ANTI DUST 1.2M TITANIU EFFECT,AURPMAD48TTE,76,256
,W001,6200021038,M_15th,GN03,AURA PRIME ANTI DUST 1.4M BIRKEN EFFE,AURPMAD56BKE,68,0
,W001,6200021038,M_15th,GN03,AVANCER 0.9M SILVER WHT 3B,AVR36SWT,38,0
,W001,6200020906,M_25th,GS02,AVANCER 1.2M SILVER WHT 3B,AVR48SWT,34,534
,W001,6200020906,M_25th,GS05,AVANCER 1.2M SILVER WHT 3B,AVR48SWT,26,534
,W001,6200020906,M_25th,GS07,AVANCER 1.2M SILVER WHT 3B,AVR48SWT,16,534
,W001,6200020949,M_15th,GS04,AVANCER 1.2M SILVER WHT 3B,AVR48SWT,30,534
,W001,6200020949,M_15th,GS05,AVANCER 1.2M SILVER WHT 3B,AVR48SWT,6,534
