,Material,STPO_Cut_Off,Key,Kolkata_STPO,GUWAHATI_STPO,Ranchi_STPO,Patna_STPO,Cuttack_STPO,Delhi_STPO,Ghaziabad_STPO,Chandigarh_STPO,LUCKNOW_STPO,Jalandhar_STPO,Jaipur_STPO,Chennai_STPO,Coimbatore_STPO,Madurai_STPO,Bangalore_STPO,SECUNDERABAD_STPO,Vijayawada_STPO,Cochin_STPO,Bhiwandi_STPO,AHMEDABAD_STPO,Pune_STPO,Indore_STPO,Nagpur_STPO,RAIPUR_STPO,GW07_STPO
27,AST48OPW,M_25th,AST48OPW_M_25th,,,,,,,,,,,,,,,,,,,,44.0,,,,,
28,ASWH1025-WHTGRYSIL,M_15th,ASWH1025-WHTGRYSIL_M_15th,,,,,,,,,,,,6.0,,,12.0,,,,,,,20.0,,,
29,ASWH1515-WHT/BRW,M_15th,ASWH1515-WHT/BRW_M_15th,,,,,,,,,,,,,,,,,,,,,,,1.0,,
30,ASWH450-IVY,M_15th,ASWH450-IVY_M_15th,,,,,,,,,,,,,,,,,,,30.0,,,,,,
31,ASWH615HZ-IVY,M_15th,ASWH615HZ-IVY_M_15th,,,,,,,,,,,,11.0,,,,,,,,,,,,,
32,AURA36NEWWHT,M_25th,AURA36NEWWHT_M_25th,,,,,,,,12.0,,,,,,,,,,,,,4.0,,32.0,,
33,AURA48BRNDLX,M_15th,AURA48BRNDLX_M_15th,,16.0,48.0,,,,,,,,,,188.0,152.0,48.0,216.0,,232.0,,,,,,,
34,AURA48BRNDLX,M_25th,AURA48BRNDLX_M_25th,,4.0,,,,,,,,,,,180.0,140.0,,,,,,,,48.0,,,
35,AURA48IVYDLX,M_15th,AURA48IVYDLX_M_15th,,,,,,,,,,,,,,,,,224.0,,,,,,,,
36,AURA48NEWWHT,M_15th,AURA48NEWWHT_M_15th,,,,,,,,,,,,,,,,,,,,44.0,,,,12.0,
37,AURA48NEWWHT,M_25th,AURA48NEWWHT_M_25th,,,,,8.0,,4.0,28.0,,,,,64.0,48.0,,,36.0,36.0,,20.0,,60.0,,36.0,
38,AURA56NEWWHT,M_15th,AURA56NEWWHT_M_15th,,,,,,,,,32.0,,,,,,,,,,,,,,,,
39,AURPMAD36BKE,M_15th,AURPMAD36BKE_M_15th,,,,,,,20.0,26.0,,,,,,,,,,,,,,,,,
40,AURPMAD36ONX,M_15th,AURPMAD36ONX_M_15th,,,,,,,,,26.0,,,,,,,,,,,,,,,,
41,AURPMAD48BSC,M_15th,AURPMAD48BSC_M_15th,,,,,,,12.0,,,,,,,,,,,,,,,,,,
42,AURPMAD48CHK,M_15th,AURPMAD48CHK_M_15th,,,,,,,,,66.0,,,,,,,,,,,,,,,,
43,AURPMAD48HGD,M_15th,AURPMAD48HGD_M_15th,,,,,,,4.0,16.0,,,,,,,,,,,,,,,,,
44,AURPMAD48HMG,M_15th,AURPMAD48HMG_M_15th,,,,,,,48.0,48.0,,16.0,,,,,,,,,,,,,,,
45,AURPMAD48TTE,M_15th,AURPMAD48TTE_M_15th,212.0,,,,44.0,,,,24.0,,,,,,,,,,,,96.0,76.0,,,
46,AURPMAD56BKE,M_15th,AURPMAD56BKE_M_15th,,,,,,,,68.0,,,,,,,,,,,,,,,,,
47,AVR36SWT,M_15th,AVR36SWT_M_15th,,,,,,,,38.0,,,,,,,,,,,,,,,,,
48,AVR48SWT,M_15th,AVR48SWT_M_15th,,,,,,,,,,,,,50.0,,30.0,120.0,114.0,144.0,,,,,,,
49,AVR48SWT,M_25th,AVR48SWT_M_25th,,,,,,,,,,,,,34.0,,,26.0,,16.0,,,,,,,
50,AVRPMAD36BBR,M_15th,AVRPMAD36BBR_M_15th,,,,,,,4.0,54.0,,,,,,,,,,,,,,,,,
51,AVRPMAD48CBN,M_15th,AVRPMAD48CBN_M_15th,,,,,,,18.0,48.0,,,,,,,,,,,,,,,,,
52,AVRPMAD48COCO,M_15th,AVRPMAD48COCO_M_15th,,,,,,,200.0,20.0,280.0,226.0,,,,,,,,,190.0,8.0,,,,,
53,AVRPMAD48COCO,M_25th,AVRPMAD48COCO_M_25th,,8.0,,,,,,,,,,,,,,,,,,,,,,,
54,AVRPMAD48IBL,M_15th,AVRPMAD48IBL_M_15th,236.0,,,,,,,,,,,,,,,,,,,,,,,,
55,AVRPMAD48IBL,M_25th,AVRPMAD48IBL_M_25th,,20.0,2.0,24.0,,,,,,,,,,,,,,,,,,,,,
56,AVRPMAD48MMT,M_15th,AVRPMAD48MMT_M_15th,,,,,,,,36.0,,,,,,,,,,,,,,,,,
57,AVRPMAD48RBN,M_15th,AVRPMAD48RBN_M_15th,,,,,,,18.0,192.0,,,,,,,,,,,,,,,,,
58,AVRPMAD48SKS,M_15th,AVRPMAD48SKS_M_15th,,,,,,,34.0,102.0,,,,,,,,,,,,,,,,,
59,AVRPRIME48HWD,M_15th,AVRPRIME48HWD_M_15th,,,,,,,,8.0,,,,,,,,,,,,,,,,,
60,AVRPRIME48NWD,M_15th,AVRPRIME48NWD_M_15th,,,,,,,,,,,,,34.0,,,70.0,22.0,,,,,44.0,,,
61,AVRPRIME48NWD,M_25th,AVRPRIME48NWD_M_25th,,,,,,100.0,16.0,14.0,,,146.0,,38.0,,18.0,46.0,22.0,64.0,118.0,88.0,60.0,30.0,,,
62,AVRPRIME48RBL,M_25th,AVRPRIME48RBL_M_25th,,,,,,,,,,,,,,,,,,,,30.0,,16.0,10.0,,
63,AXIALAIR4IVY,M_15th,AXIALAIR4IVY_M_15th,,,,,,,,,,,,,,,,,,20.0,,,,,,,
64,AXIALAIR4IVY,M_25th,AXIALAIR4IVY_M_25th,,,,,,,,,,,,,,,,,,80.0,,,,,,,
65,AXIALAIR4WHT,M_15th,AXIALAIR4WHT_M_15th,,,,,,,,,,40.0,60.0,,,,,60.0,,180.0,,,,,,,
66,AXIALAIR4WHT,M_25th,AXIALAIR4WHT_M_25th,,,,,,,,,,20.0,40.0,,,,,40.0,,120.0,,40.0,,,,,
67,AXIALAIR6IVY,M+1_7th,AXIALAIR6IVY_M+1_7th,,,,,40.0,,,,,13.0,,,,,,,,,,120.0,80.0,,,,
68,AXIALAIR6IVY,M_15th,AXIALAIR6IVY_M_15th,7.0,,,,,,,,,,,,100.0,,,,,,,,,,,,
69,AXIALAIR6WHTN,M_25th,AXIALAIR6WHTN_M_25th,,,,20.0,,,4.0,,,,,,,,,,,,,,,,,,
70,BRISKAIR6HSBLKN,M_15th,BRISKAIR6HSBLKN_M_15th,,,,24.0,,,,,,,,,,,,,,,104.0,,,,,,
71,BRISKAIR6HSBLKN,M_25th,BRISKAIR6HSBLKN_M_25th,,,,16.0,,,,,,,,,,,,,,,72.0,,,,,,
72,BRISKAIR6HSBRNN,M_15th,BRISKAIR6HSBRNN_M_15th,,,,,,,,,,,,,,,,,,,104.0,,,,,,
73,BRISKAIR6HSBRNN,M_25th,BRISKAIR6HSBRNN_M_25th,,,,,,,,,,,,,,,,,,,72.0,,,,,,
74,BRISKAIR6HSWHTN,M_15th,BRISKAIR6HSWHTN_M_15th,,,,,,,,,,,,64.0,,,,,,,64.0,32.0,,,,,
75,BRISKAIR6HSWHTN,M_25th,BRISKAIR6HSWHTN_M_25th,,,,,,,,,,,,40.0,,,,,,,32.0,24.0,,,,,
76,BRISKAIR8HSBLKN,M_15th,BRISKAIR8HSBLKN_M_15th,,,,16.0,,,,,,,,,,,,,,,,,,,,,
77,BRISKAIR8HSBLKN,M_25th,BRISKAIR8HSBLKN_M_25th,,,,8.0,,,,,,,,,,,,,,,,,,,,,
78,BRISKAIR8HSIVYN,M_15th,BRISKAIR8HSIVYN_M_15th,,,,,,,,,,,,,,,,,64.0,,32.0,,,,,,
79,BRISKAIR8HSIVYN,M_25th,BRISKAIR8HSIVYN_M_25th,,,,,,,,,,,,,,,,,40.0,,24.0,,,,,,
80,BRISKAIR8HSWHTN,M_15th,BRISKAIR8HSWHTN_M_15th,,,,,,,,,,,,,,,,,,,16.0,32.0,,,,,
81,BRISKAIR8HSWHTN,M_25th,BRISKAIR8HSWHTN_M_25th,,,,,,,,,,,,,,,,,,,32.0,24.0,,,,,
82,BRISKAIRPLUS6BRN,M_15th,BRISKAIRPLUS6BRN_M_15th,,,,16.0,,,,,,,,,,,,,,,48.0,,,,,,
83,BRISKAIRPLUS6BRN,M_25th,BRISKAIRPLUS6BRN_M_25th,,,,8.0,,,,,,,,,,,,,,,32.0,,,,,,
84,BRISKAIRPLUS6IVY,M_15th,BRISKAIRPLUS6IVY_M_15th,,,,,,,,,,,,,,,,,,,24.0,,,,,,
85,BRISKAIRPLUS6IVY,M_25th,BRISKAIRPLUS6IVY_M_25th,,,,,,,,,,,,,,,,,,,16.0,,,,,,
86,BRISKAIRPLUS6WHT,M_15th,BRISKAIRPLUS6WHT_M_15th,6.0,,,,,,,,,,,,300.0,,,,,,,,,,,,
87,BRISKAIRPLUS8WHT,M_15th,BRISKAIRPLUS8WHT_M_15th,,,,,,,,,,,,,200.0,,,,,,4.0,,,,,,
88,BRIZ24BRN,M_25th,BRIZ24BRN_M_25th,40.0,,,,,48.0,8.0,216.0,60.0,8.0,108.0,,,,,,,,156.0,,40.0,,,,
89,BRIZ24IVY,M_15th,BRIZ24IVY_M_15th,,,,12.0,8.0,,,32.0,,,,,,,,,,,,,,,,,
90,BRIZ24IVY,M_25th,BRIZ24IVY_M_25th,,,,16.0,8.0,,,44.0,,,,,,,,,,76.0,,,,,,,
91,BRIZ24OPW,M_15th,BRIZ24OPW_M_15th,,,4.0,,,,,348.0,,,,,,,,,,,,,,,,,
92,BRIZ24OPW,M_25th,BRIZ24OPW_M_25th,,8.0,8.0,,,492.0,,212.0,60.0,4.0,20.0,,,,,,,,,,,,16.0,,
93,BRIZ36IVY,M_25th,BRIZ36IVY_M_25th,,,,,,,,,,,,,,,,,,,,20.0,,,,,
94,BRIZ36OPW,M_15th,BRIZ36OPW_M_15th,,8.0,,,,212.0,,224.0,8.0,,,,,,,,,,,,,,,,
95,BRIZ36OPW,M_25th,BRIZ36OPW_M_25th,,8.0,,,,328.0,,148.0,60.0,,164.0,,,,,,,,212.0,96.0,24.0,8.0,,,
96,BRIZ42BRN,M_15th,BRIZ42BRN_M_15th,,,,,,,,,,,24.0,,,,,,,,112.0,32.0,,,,,
97,BRIZ42BRN,M_25th,BRIZ42BRN_M_25th,,,,,,,,,,,16.0,,,,,,,,208.0,20.0,,,,,
98,BRIZ42OPW,M_25th,BRIZ42OPW_M_25th,,,,,,,,,,,16.0,,,,,,,,192.0,20.0,,,,,
99,BRIZ48BRN,M_15th,BRIZ48BRN_M_15th,,,,,,2492.0,124.0,7072.0,28.0,1000.0,1052.0,,,,,,,,,464.0,,,,,
100,BRIZ48BRN,M_25th,BRIZ48BRN_M_25th,,,,,,2460.0,84.0,2048.0,20.0,824.0,1748.0,400.0,,,,,,188.0,1244.0,48.0,88.0,,,,
101,BRIZ48IVY,M_25th,BRIZ48IVY_M_25th,,,,,8.0,248.0,,112.0,,,308.0,148.0,,,,40.0,,,,40.0,,,,,
102,BRIZ48OPW,M_15th,BRIZ48OPW_M_15th,,,,,,3832.0,84.0,1720.0,2028.0,1500.0,1332.0,,,,,,,,,,,,,,
103,BRIZ48OPW,M_25th,BRIZ48OPW_M_25th,,,,,,1312.0,40.0,1148.0,20.0,468.0,4.0,,,,,,,,36.0,416.0,76.0,,,,
104,BRIZ56OPW,M_15th,BRIZ56OPW_M_15th,,,,,,492.0,56.0,236.0,,248.0,48.0,,,,,,,,,60.0,116.0,,,,
105,BRIZ56OPW,M_25th,BRIZ56OPW_M_25th,,,,,,328.0,36.0,156.0,,164.0,124.0,,,,,,,,76.0,40.0,80.0,,,,
106,BRIZDEC48BRNN,M_15th,BRIZDEC48BRNN_M_15th,,,,,,,,20.0,,,,,,,,,,,,,,,,,
107,BRIZDEC48BRNN,M_25th,BRIZDEC48BRNN_M_25th,,,,,,,,12.0,,,,,,,,,,,,,,,,,
108,BRIZDEC48IVY,M_15th,BRIZDEC48IVY_M_15th,,,,,,,,52.0,,,,,,,,,,,92.0,32.0,56.0,,,,
109,BRIZDEC48IVY,M_25th,BRIZDEC48IVY_M_25th,,,,,,,,36.0,,,,,,,,,,,76.0,20.0,40.0,,,,
110,BRIZDEC48OPW,M_15th,BRIZDEC48OPW_M_15th,,,,,,,,4.0,,,,,,,,,,,,,,,,,
111,BRIZDEC48OPW,M_25th,BRIZDEC48OPW_M_25th,,,,,,,,24.0,,,,,,,,,,,,20.0,,,,,
112,CAL48SSBB,M_15th,CAL48SSBB_M_15th,,,,,,,,,24.0,,,,,,,,,,,,,,,,
113,CB24IVY,M+1_7th,CB24IVY_M+1_7th,,,,,,,,,,,40.0,,,,,,,,36.0,,188.0,,,,
114,CB24LB,M+1_7th,CB24LB_M+1_7th,,,,,,,,,64.0,,,,,,,,,,,,,,,,
115,CB24OPW,M+1_7th,CB24OPW_M+1_7th,,12.0,,,,,,,164.0,,280.0,,,,,,,,136.0,396.0,460.0,,,,
116,CB36OPW,M_25th,CB36OPW_M_25th,20.0,,,,,,,28.0,68.0,,,,,,,,,,,4.0,,,12.0,,
117,CB48IVY,M+1_7th,CB48IVY_M+1_7th,,,,,,,,,,,,,,,2.0,,,,,,,,,,
118,CB48LB,M+1_7th,CB48LB_M+1_7th,,,,,,,,,,,,,1496.0,,,,,716.0,,,,,,,
119,CB48LB,M_15th,CB48LB_M_15th,1.0,,,,,,,,,,,,,,,,,,,,,,,,
120,CB48OPW,M+1_7th,CB48OPW_M+1_7th,,,,,,,,,,,,,236.0,,,,,364.0,,,,,,,
121,CB56OPW,M_25th,CB56OPW_M_25th,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,
122,DIGNITAAD48CRML,M_15th,DIGNITAAD48CRML_M_15th,,,,,,,,,,,,,,,,,,,,,,44.0,,,
123,DIGNITAAD48SONX,M_15th,DIGNITAAD48SONX_M_15th,,,,,,,,,,,,,,,,,,,,,,44.0,,,
124,DRIFTAIRPLUS12OPW,M+1_7th,DRIFTAIRPLUS12OPW_M+1_7th,,,,,3.0,,,,,,,,,,,,,,,,,,,,
125,DRIFTAIRPLUS12OPW,M_15th,DRIFTAIRPLUS12OPW_M_15th,,1.0,,,,,,,,,,,,,,,,,,,,,,,
126,DRIFTAIRPLUS12OPW,M_25th,DRIFTAIRPLUS12OPW_M_25th,,,,4.0,,,,,,,,,,12.0,,,,,,28.0,,,,,
127,DRIFTAIRPLUS6OPW,M_25th,DRIFTAIRPLUS6OPW_M_25th,,24.0,,,,,,,,,,,,,,,,,,,,,,,
128,DRIFTAIRPLUS9OPW,M_25th,DRIFTAIRPLUS9OPW_M_25th,,24.0,8.0,28.0,,,,,,,,,192.0,,,,,,,,,,,,
129,DVN48RBN,M_15th,DVN48RBN_M_15th,,,,,10.0,,12.0,40.0,,,6.0,,,,,,,,40.0,428.0,,208.0,,,
130,DVN48RBN,M_25th,DVN48RBN_M_25th,,,,,16.0,56.0,16.0,26.0,,,42.0,,,,,,,,114.0,286.0,,140.0,,,
131,ENT48OPW,M_15th,ENT48OPW_M_15th,,,,,,,,,,,,,,,,,,296.0,,,,,,,
132,ENT48OPW,M_25th,ENT48OPW_M_25th,,,,,,84.0,,,,,,,,,,,,,,,,36.0,,,
133,EXHD300-4-1,M_15th,EXHD300-4-1_M_15th,,,,,,,,,,,,,,,,28.0,,,,,,,,,
134,EXHD300-4-1,M_25th,EXHD300-4-1_M_25th,80.0,8.0,,19.0,16.0,49.0,46.0,18.0,69.0,23.0,48.0,,23.0,20.0,,81.0,10.0,41.0,136.0,155.0,17.0,58.0,12.0,,
135,EXHD300-6-1,M_15th,EXHD300-6-1_M_15th,,,,,,97.0,11.0,,46.0,,45.0,,,,,,,,15.0,,,,,,
136,EXHD300-6-1,M_25th,EXHD300-6-1_M_25th,,,,,,86.0,7.0,8.0,69.0,27.0,37.0,,,,15.0,,,,10.0,,,15.0,,,
137,EXHD380-4-1,M_25th,EXHD380-4-1_M_25th,,,,,,,,52.0,,,75.0,,12.0,12.0,47.0,10.0,4.0,33.0,126.0,136.0,,33.0,194.0,,
138,EXHD380-4-3,M_15th,EXHD380-4-3_M_15th,,,,,,,,,,,,,,,,,,,,25.0,,,,,
139,EXHD380-4-3,M_25th,EXHD380-4-3_M_25th,,,,,,,,,,,,,,,,,,,10.0,24.0,,,,,
140,EXHD380-6-1,M_25th,EXHD380-6-1_M_25th,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,
141,EXHD450-4-1,M_15th,EXHD450-4-1_M_15th,,,,,,,,1362.0,,,,,,,,,,,,,,331.0,,,
142,EXHD450-4-1,M_25th,EXHD450-4-1_M_25th,,,,18.0,11.0,1021.0,284.0,194.0,107.0,210.0,284.0,,24.0,20.0,68.0,,42.0,42.0,155.0,190.0,26.0,909.0,,,
143,EXHD450-4-3,M_15th,EXHD450-4-3_M_15th,,,,,,,,,,,,,,,,,,,44.0,59.0,,,,,
144,EXHD450-4-3,M_25th,EXHD450-4-3_M_25th,,,,,,,,,,,,,,,,,,,30.0,39.0,,,,,
145,EXHD450-6-1,M_15th,EXHD450-6-1_M_15th,,,,,,21.0,13.0,54.0,85.0,,35.0,,,,,,,,,,,,21.0,7.0,
146,EXHD450-6-1,M_25th,EXHD450-6-1_M_25th,,,,,,14.0,9.0,38.0,57.0,,23.0,,,,,,,,,,,,20.0,25.0,
147,EXHD600-6-1,M_15th,EXHD600-6-1_M_15th,15.0,,,,,340.0,160.0,72.0,39.0,143.0,107.0,,,,,,,,4.0,59.0,,57.0,,,
148,EXHD600-6-1,M_25th,EXHD600-6-1_M_25th,10.0,12.0,,,,227.0,120.0,49.0,57.0,142.0,71.0,,,,,,,,39.0,39.0,,39.0,19.0,11.0,
149,EXHD600-6-3,M_15th,EXHD600-6-3_M_15th,,,,,,,,15.0,,,,,,,,,,,24.0,,,,,9.0,
150,EXHD600-6-3,M_25th,EXHD600-6-3_M_25th,,,,,,,,16.0,,,,,,,,,,,39.0,,,,,15.0,
151,EXHD900-8-3,M_15th,EXHD900-8-3_M_15th,,,,,,,,,,,,,,,,,,,,,,,15.0,5.0,
152,EXHD900-8-3,M_25th,EXHD900-8-3_M_25th,,,,,,,,,,,,,,,,,,,,,,,10.0,15.0,
153,FLUXAIR9OPW,M_15th,FLUXAIR9OPW_M_15th,300.0,152.0,16.0,,,,,,,,,,,,,,,,,,,,,,
154,FLUXAIR9OPW,M_25th,FLUXAIR9OPW_M_25th,200.0,156.0,40.0,,40.0,,,,,,,,336.0,,72.0,104.0,,,,,,,,,
155,FLY48EMBER,M_15th,FLY48EMBER_M_15th,,,,,,,,,,,,,,12.0,,,,,,,,,,,
156,FLY48EMBER,M_25th,FLY48EMBER_M_25th,48.0,,,,,,,16.0,28.0,,,,,28.0,,20.0,44.0,,,,,,,,
157,FLY48SWT,M_15th,FLY48SWT_M_15th,,,,,,,,,,,,,,,,44.0,,,,,,,,,
158,FLY48SWT,M_25th,FLY48SWT_M_25th,,,,,,,,,,,,,,,10.0,48.0,,,,6.0,,,,,
159,HLB48BRN,M+1_7th,HLB48BRN_M+1_7th,,,,,,,,,,,,,,,76.0,84.0,,,,,,,,,
160,HLB48OPW,M_15th,HLB48OPW_M_15th,,,,,,,,4.0,,,,,,,,,,,,,,,,,
161,HLB48OPW,M_25th,HLB48OPW_M_25th,,,,,,4.0,,,,,,,,,,,,,,,,,,,
162,HS36BRN,M_15th,HS36BRN_M_15th,364.0,,,,,,,,,,,,128.0,308.0,,,192.0,288.0,,,,,,,
163,HS36BRN,M_25th,HS36BRN_M_25th,,,,,,,,,,,,,20.0,148.0,56.0,,76.0,,,,,,,,
164,HS36IVY,M_25th,HS36IVY_M_25th,,,,,20.0,,,,,,,,,,,16.0,,,,,,,24.0,,
165,HS36OPW,M_25th,HS36OPW_M_25th,100.0,,,,,68.0,,44.0,,,,,,,,,,,,,,12.0,24.0,8.0,
166,HS42OPW,M_15th,HS42OPW_M_15th,48.0,,,,,,,,,,,,,40.0,,,,,80.0,124.0,56.0,16.0,,,
167,HS42OPW,M_25th,HS42OPW_M_25th,32.0,,,,,,,,,,,60.0,,28.0,,,,24.0,176.0,84.0,44.0,12.0,,,
168,HS48BRN,M_15th,HS48BRN_M_15th,,,68.0,204.0,,,,,,36.0,,,600.0,,,,,,,,,,,,
169,HS48DBN,M_15th,HS48DBN_M_15th,,,,,,,4.0,,,,,,,,,,,,,,,,,,
170,HS48IVY,M_15th,HS48IVY_M_15th,,,,,,,,,,,,,424.0,120.0,,,,,,,,,,,
171,HS48IVY,M_25th,HS48IVY_M_25th,,,,,,44.0,,,,,,,,,,,,,,,,,,,
172,HS48OPW,M_15th,HS48OPW_M_15th,,,,,36.0,,,,,,688.0,,,,,,,,140.0,,,,,,
173,HS48OPW,M_25th,HS48OPW_M_25th,,,,16.0,120.0,,,,,4.0,528.0,,,,,,,,600.0,,,,,,
174,HS56BRN,M_15th,HS56BRN_M_15th,60.0,,24.0,,,,,,,,,,,,,,,,,,,,,,
175,HS56BRN,M_25th,HS56BRN_M_25th,200.0,4.0,,,,,36.0,,,,,,,,,,,,,,,12.0,,,
176,HS56OPW,M_15th,HS56OPW_M_15th,,8.0,,,,,,,,,,,,,,92.0,,,,,,,,,
177,HS56OPW,M_25th,HS56OPW_M_25th,200.0,12.0,,,,,,,,,,,,,,4.0,,,,,,,,,
178,HSDCPRM48AGD,M_15th,HSDCPRM48AGD_M_15th,,,,,,,,,,,,280.0,264.0,88.0,,,,,,,,,,,
179,HSDCPRM48GGD,M_15th,HSDCPRM48GGD_M_15th,132.0,,,,,,,,,,,,,,,,,,,,,,,,
180,HSDCPRM48GGD,M_25th,HSDCPRM48GGD_M_25th,120.0,,,,,,,,,,,,,,,,,,,,,,,,
181,HSDCR48BRN,M_15th,HSDCR48BRN_M_15th,,,24.0,,,,,,,,,,,,,,,,,,,,,,
182,HSDCR48BRN,M_25th,HSDCR48BRN_M_25th,,,,24.0,20.0,,,,,,,168.0,100.0,120.0,,68.0,16.0,,,,,,,,
183,HSDCR48IVY,M_15th,HSDCR48IVY_M_15th,,,,,,,,,,,,,196.0,,,,,,,,,,,,
184,HSDCR48IVY,M_25th,HSDCR48IVY_M_25th,,,,,,,,,,,,104.0,184.0,96.0,192.0,,,,,20.0,20.0,,,,
185,HSPLUS48BRN,M_15th,HSPLUS48BRN_M_15th,,,,16.0,,,,,,,,,,,,,,,,,,,,,
186,HSPLUS48BRN,M_25th,HSPLUS48BRN_M_25th,,,,16.0,,40.0,,16.0,44.0,,220.0,,4.0,,,,,,,1076.0,,20.0,,,
187,HSPLUS48OPW,M_15th,HSPLUS48OPW_M_15th,36.0,,,16.0,,140.0,,16.0,,,216.0,,,,,,,,,,,16.0,,,
188,HSPLUS48OPW,M_25th,HSPLUS48OPW_M_25th,160.0,,,12.0,60.0,264.0,,12.0,44.0,,220.0,,184.0,20.0,,60.0,,,,680.0,,12.0,16.0,,
189,JUPITER48BRASS,M_15th,JUPITER48BRASS_M_15th,,,,,,,,,,,,,10.0,,,,,,,,,,,,
190,JUPITER48BRASS,M_25th,JUPITER48BRASS_M_25th,,,,,,,,,12.0,,,,,,,,,,,,,,,,
191,JURA48BBR,M_15th,JURA48BBR_M_15th,,,,,,,,60.0,,,,,,,,,,,,,,,,,
192,JURA48PSWT,M_15th,JURA48PSWT_M_15th,,,,,,,,64.0,,,,,,,,,,,,,,,,,
193,LRN48HGD,M_15th,LRN48HGD_M_15th,60.0,12.0,,,,,,,,,16.0,,,,,36.0,,,20.0,24.0,,,,,
194,LRN48HGD,M_25th,LRN48HGD_M_25th,40.0,8.0,,,,,,,,,12.0,,,,,24.0,,,12.0,16.0,,,,,
195,MOUNTAIR6WHT,M_15th,MOUNTAIR6WHT_M_15th,,,,,,,,,,,,,200.0,,,,,,,,,,,,
196,NEBULA48ANB,M_15th,NEBULA48ANB_M_15th,,,,,,9.0,,44.0,,,20.0,,10.0,,,,,,,,,,,,
197,NEBULA48ANB,M_25th,NEBULA48ANB_M_25th,,,,,,20.0,,29.0,12.0,8.0,,,,,48.0,34.0,12.0,,,,,,,,
198,NEOBRZ48BRN,M_15th,NEOBRZ48BRN_M_15th,,,,,,,2000.0,500.0,1276.0,,,,,,,,,,,,,,,,
199,NEOBRZ48BRN,M_25th,NEOBRZ48BRN_M_25th,,,,,480.0,72.0,976.0,384.0,6296.0,232.0,316.0,,,,,,,,,,,,,,
200,NEOBRZ48IVY,M_15th,NEOBRZ48IVY_M_15th,,,,,36.0,,688.0,,576.0,,344.0,,,,,,,,,,,,,,
201,NEOBRZ48IVY,M_25th,NEOBRZ48IVY_M_25th,,,,,160.0,,192.0,,48.0,,232.0,,,,,,,,,,,,,,
202,NEOBRZ48OPW,M_15th,NEOBRZ48OPW_M_15th,,,,,,,,632.0,,,,,,,,,,,,,,,,,
203,NEOBRZ48OPW,M_25th,NEOBRZ48OPW_M_25th,,,,,120.0,,,424.0,776.0,,,,,,,,,,,,,,,,
204,NEOBRZDEC48BRN,M_15th,NEOBRZDEC48BRN_M_15th,,,,,20.0,,,,84.0,,,,,,,,,,,,,,,,
205,NEOBRZDEC48BRN,M_25th,NEOBRZDEC48BRN_M_25th,,,,,40.0,,,,80.0,,24.0,,,,,,,,,,,,,,
206,NEOBRZDEC48IVY,M_15th,NEOBRZDEC48IVY_M_15th,,,,,12.0,,,,4.0,,,,,,,,,,,,,,,,
207,NEOBRZDEC48IVY,M_25th,NEOBRZDEC48IVY_M_25th,,,,,40.0,,,,44.0,,32.0,,,,,,,,,,,,,,
208,PAVAN48IVY,M_15th,PAVAN48IVY_M_15th,,,,,,,,,,,,,,,,,,,,8.0,,,,,
209,PAVAN48IVY,M_25th,PAVAN48IVY_M_25th,,,,,,,,,,,,,,,,32.0,,,,28.0,,,,,
210,PAVAN48OPW,M_25th,PAVAN48OPW_M_25th,,,,,,,,,,,,,,,,,,,,36.0,,,,,
211,PFSTRM2-18BLK,M_15th,PFSTRM2-18BLK_M_15th,,,,,,,,30.0,,,,,,,,,,,,,,,,,
212,PFWINDFLO16OPW,M+1_7th,PFWINDFLO16OPW_M+1_7th,160.0,,,,,,,,,,,,,,,,,,,,,,,,
213,PFWINDFLO16OPW,M_15th,PFWINDFLO16OPW_M_15th,,1.0,,,,,,,,,,,,,,,,,,,,,,,
214,PVNDEC48IVY,M_15th,PVNDEC48IVY_M_15th,,,,,,,,,,,20.0,,,,,,,,,,,,,,
215,PVNDEC48IVY,M_25th,PVNDEC48IVY_M_25th,,,,,,,,,,,16.0,,,,,,,,,,,,44.0,,
216,PVNDEC48LB,M_15th,PVNDEC48LB_M_15th,,,,,,,,,,,,,,,,,60.0,76.0,,,,,,,
217,PVNDEC48LB,M_25th,PVNDEC48LB_M_25th,,,,,,,,,,,,,,,,,32.0,80.0,,,,,28.0,,
218,RIV36OPW,M_25th,RIV36OPW_M_25th,,,,,80.0,,12.0,,12.0,,,32.0,,,,,,,,64.0,,,,,
219,RIV48BNC,M_15th,RIV48BNC_M_15th,,44.0,,,,,,,,,,,,,,,,,,,,,,,
220,RIV48BNC,M_25th,RIV48BNC_M_25th,,20.0,,,160.0,,,,,,,,,,,,,,,,,,,,
221,RIV48BRN,M_15th,RIV48BRN_M_15th,,,24.0,96.0,,,,,,,,,,,,,,,,,,,,,
222,RIV48BRN,M_25th,RIV48BRN_M_25th,,,8.0,,,,,,,,,,,,,,,,,,,,,,
223,RIV48OPW,M_15th,RIV48OPW_M_15th,,,20.0,36.0,,,,,,,,,,,,,,,,,,,,,
224,RIV48OPW,M_25th,RIV48OPW_M_25th,,40.0,8.0,,,,,,,,,,,,,,,,,,,,,,
225,RIV56OPW,M_15th,RIV56OPW_M_15th,,,,,,,,52.0,,,,,,,,,,,,,,,,,
