,Material,STPO_Cut_Off,Key,Kolkata_STPO,GUWAHATI_STPO,Ranchi_STPO,Patna_STPO,Cuttack_STPO,Delhi_STPO,Ghaziabad_STPO,Chandigarh_STPO,LUCKNOW_STPO,Jalandhar_STPO,Jaipur_STPO,Chennai_STPO,Coimbatore_STPO,Madurai_STPO,Bangalore_STPO,SECUNDERABAD_STPO,Vijayawada_STPO,Cochin_STPO,Bhiwandi_STPO,AHMEDABAD_STPO,Pune_STPO,Indore_STPO,Nagpur_STPO,RAIPUR_STPO,GW07_STPO
248,S-90000336,M_15th,S-90000336_M_15th,,,,,,52.0,,,,,,,,,,,,,,,,,,,
249,S-90000338,M_15th,S-90000338_M_15th,,,,,,200.0,,,,,,,,,,,,,,,,,,,
250,S-90000340,M_15th,S-90000340_M_15th,,,,,,,,,,,,,,,1.0,,,,,,,,,,
251,S-90000342,M_15th,S-90000342_M_15th,,,,,,,,,,24.0,,,,,,,,,,,,,,,
252,S-90000343,M_15th,S-90000343_M_15th,,,,,,7.0,,,,,,,,,,,,,6.0,,,,,,
253,S-90000344,M_15th,S-90000344_M_15th,,,,,,,,,,24.0,,,,,,,,,,,,,,,
254,S-90000361,M_15th,S-90000361_M_15th,,,,,,,,,,,,41.0,6.0,,,,,,,,,,,,
255,S-90000365,M_15th,S-90000365_M_15th,,,,,,,,,,,,,,,,,,,8.0,,,,,,
256,S-90000366,M_15th,S-90000366_M_15th,,,,,,,,,,,,,,,,,,,2.0,,,,,,
257,S-90000376,M_15th,S-90000376_M_15th,,,,,,,,,,108.0,,,,,,,,,,,,,,,
258,S-90000384,M_15th,S-90000384_M_15th,,,,,,,,,,,,,,,6.0,,,,,,,,,,
259,S-90000387,M_15th,S-90000387_M_15th,,,,,,,,,,,,,,,,,,,,,,,,10.0,
260,S-90000391,M_15th,S-90000391_M_15th,,,,,,,,,,,,,,,,,,,78.0,,,,,,
261,S-90000392,M_15th,S-90000392_M_15th,,,,,,,,,,,,,,,,,,,68.0,,,,,,
262,S-90000400,M_15th,S-90000400_M_15th,,,,,,,,,,,,,,,,,,,,,,,,15.0,
263,S-90000402,M_15th,S-90000402_M_15th,,,,,,10.0,,,,,,,,,,,,,,,,,,25.0,
264,S-90000406,M_15th,S-90000406_M_15th,,,,,,,,,,,,,,,2.0,,,,,,,,,,
