Material,STPO_Cut_Off,GE01,GE02,GE03,GE04,GE05,GN01,GN02,GN03,GN04,GN05,GN06,GS01,GS02,GS03,GS04,GS05,GS06,GS07,GW01,GW02,GW03,GW04,GW05,GW06,GW07
BRISKAIRPLUS8WHT,M_15th,,,,,,,,,,,,,200.0,,,,,,4.0,,,,,,
BRIZ24BRN,M_25th,40.0,,,,,48.0,8.0,216.0,60.0,8.0,108.0,,,,,,,,156.0,,40.0,,,,
BRIZ24IVY,M_15th,,,,12.0,8.0,,,32.0,,,,,,,,,,,,,,,,,
BRIZ24IVY,M_25th,,,,16.0,8.0,,,44.0,,,,,,,,,,76.0,,,,,,,
BRIZ24OPW,M_15th,,,4.0,,,,,348.0,,,,,,,,,,,,,,,,,
BRIZ24OPW,M_25th,,8.0,8.0,,,492.0,,212.0,60.0,4.0,20.0,,,,,,,,,,,,16.0,,
BRIZ36IVY,M_25th,,,,,,,,,,,,,,,,,,,,20.0,,,,,
BRIZ36OPW,M_15th,,8.0,,,,212.0,,224.0,8.0,,,,,,,,,,,,,,,,
BRIZ36OPW,M_25th,,8.0,,,,328.0,,148.0,60.0,,164.0,,,,,,,,212.0,96.0,24.0,8.0,,,
BRIZ42BRN,M_15th,,,,,,,,,,,24.0,,,,,,,,112.0,32.0,,,,,
BRIZ42BRN,M_25th,,,,,,,,,,,16.0,,,,,,,,208.0,20.0,,,,,
BRIZ42OPW,M_25th,,,,,,,,,,,16.0,,,,,,,,192.0,20.0,,,,,
BRIZ48BRN,M_15th,,,,,,2492.0,124.0,7072.0,28.0,1000.0,1052.0,,,,,,,,,464.0,,,,,
BRIZ48BRN,M_25th,,,,,,2460.0,84.0,2048.0,20.0,824.0,1748.0,400.0,,,,,,188.0,1244.0,48.0,88.0,,,,
BRIZ48IVY,M_25th,,,,,8.0,248.0,,112.0,,,308.0,148.0,,,,40.0,,,,40.0,,,,,
BRIZ48OPW,M_15th,,,,,,3832.0,84.0,1720.0,2028.0,1500.0,1332.0,,,,,,,,,,,,,,
BRIZ48OPW,M_25th,,,,,,1312.0,40.0,1148.0,20.0,468.0,4.0,,,,,,,,36.0,416.0,76.0,,,,
BRIZ56OPW,M_15th,,,,,,492.0,56.0,236.0,,248.0,48.0,,,,,,,,,60.0,116.0,,,,
BRIZ56OPW,M_25th,,,,,,328.0,36.0,156.0,,164.0,124.0,,,,,,,,76.0,40.0,80.0,,,,
BRIZDEC48BRNN,M_15th,,,,,,,,20.0,,,,,,,,,,,,,,,,,
BRIZDEC48BRNN,M_25th,,,,,,,,12.0,,,,,,,,,,,,,,,,,
