Item Name,Date,Bhiwandi,Vijayawada,SECUNDERABAD,Ranchi,RAIPUR,Patna,Nagpur,Pune,Madurai,LUCKNOW,Kolkata,Indore,GUWAHATI,Coimbatore,Cochin,Chennai,Cuttack,Bangalore,AHMEDABAD,Jalandhar,Jaipur,Ghaziabad,Delhi,Chandigarh
AURPMAD48CHK,M_15th,,,,,,,,,,0,,,,,,,,,,,,,,
BRIZ36OPW,M_15th,,,,,,,,,,0,,,0,,,,,,,,,,0,0
BRIZ48BRN,M_15th,,,,,,,,,,28,,,,,,,,,264,0,0,0,0,0
BRIZ48OPW,M_15th,,,,,,,,,,1784,,,,,,,,,,0,0,0,0,0
CAL48SSBB,M_15th,,,,,,,,,,0,,,,,,,,,,,,,,
NEOBRZ48BRN,M_15th,,,,,,,,,,916,,,,,,,,,,,,0,,0
NEOBRZ48IVY,M_15th,,,,,,,,,,36,,,,,,,0,,,,0,0,,
NEOBRZDEC48BRN,M_15th,,,,,,,,,,0,,,,,,,0,,,,,,,
NEOBRZDEC48IVY,M_15th,,,,,,,,,,4,,,,,,,8,,,,,,,
S-90000287,M_15th,,,,,,,,,,0,,,,,0,,,,,,,,,
S-90000288,M_15th,,,,,,,,,,0,,,,0,0,,,,,,,,0,
S-90000494,M_15th,,,,,,,,,,20,,,,,,120,,,,,,,,
S-90000815,M_15th,,,,,,,,,,20,,,,,,,,,,,,,,
S-90000831,M_15th,,,,,,,,,,10,,,,,,,,,,,,,,
S-90002107,M_15th,,,,,,,,,,0,,,,,,,,,,,,,,
S-90002110,M_15th,,,,,,,,,,0,,,,,,,,,,,,,,
S-90002347,M_15th,,,,,,,,,,0,,,,,,,,,,,,,,
S-90002501,M_15th,,,,,,,,,,216,,,,,,,,,,0,,,,
TRIT48ABR,M_15th,,,,,,,,,,6,60,30,,10,,,,,32,,144,20,54,0
URANUS48BLK,M_15th,,,,,,,,,,6,0,,,,,,0,,,,0,,,0
URANUS48IVY,M_15th,,,,,,,,,,16,,,,8,,,,,0,0,0,0,,0
AVRPMAD48IBL,M_15th,,,,,,,,,,,236,,,,,,,,,,,,,
AXIALAIR6IVY,M_15th,,,,,,,,,,,7,,,100,,,,,,,,,,
BRISKAIRPLUS6WHT,M_15th,,,,,,,,,,,6,,,300,,,,,,,,,,
CB48LB,M_15th,,,,,,,,,,,1,,,,,,,,,,,,,
HSDCPRM48GGD,M_15th,,,,,,,,,,,132,,,,,,,,,,,,,
S-90001777,M_15th,,,,,,,,,,,0,,,0,,,,,,,,0,0,
S-90001779,M_15th,,,,,,,,,,,0,,,,,,,,,,,,,
S-90002460,M_15th,,,,,,,,,,,0,,,,,,,,,,,,,
S-90002461,M_15th,,,,,,,,,,,0,,,,,,,,,,,,,
TRIT48BST,M_15th,,,,,,,,,,,24,32,,20,,,12,,6,,236,24,,30
WMFIZZAIR12OPW,M_15th,,,,,,,,,,,33,,,,132,,0,,,0,0,,0,0
WMFIZZAIRHS16OPW,M_15th,,,,,,,,,,,60,,,,,,72,,,60,27,,60,60
ASWH1025-WHTGRYSIL,M_15th,,,,,,,,,,,,0,,,,0,,0,,,,,,
DIGNITAAD48CRML,M_15th,,,,,,,,,,,,44,,,,,,,,,,,,
DIGNITAAD48SONX,M_15th,,,,,,,,,,,,44,,,,,,,,,,,,
EXHD450-4-1,M_15th,,,,,,,,,,,,331,,,,,,,,,,,,604
SB48IVY,M_15th,,,,,,,,,,,,420,,,,,,,,,,,,
